reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
23bc75e9-1a55-4744-99bf-88ab4d61d3cf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Login dengan NIP dan password sudah benar tapi keterangannya malah NIP tidak ada data. Terus login lewat crome malah muncul datanya orang lain. Ini gimana kok gak bisa di bukak datanya lewat aplikasi myasn bkn,2,31,3.2.0,2025-02-14 06:30:39,,,3.2.0
8d90ad3a-297a-4fcf-98ab-d907f29bc55d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ternyata melalui my ASN gk bs diharap. buat teman teman yang juga punya masalah terkait pengisian E kinerja nya. untuk dapat kode nya, download google othenticator ya. karena dr my ASN gk mw kasih respon apapun. *udah deadline pengisian SKP ni.. Tp gk bs buka e kinerja Dan aplikasi nya jg... Dan sudah download, malah gk bs log in,,, bolak balik lupa password,, tapi sama aza... tulung,,,, ini deadline mw buat SKP.... mana gk bs log in e kinerja melalui browsing jg... tolong solusinya dong...*",1,2,3.2.0,2025-04-10 05:57:59,,,3.2.0
0fa42cb7-f51c-4e02-96c3-abb8429fd96c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Egak usah buat aplikasi kalo belum sempurna Sudah sebulan tidak bisa login melalui aplikasi sedangkan login melalui chrome bisa Ayolah jangan terlalu lama updatenya Ini mengenai hajad hidup orang banyak bro,1,20,3.1.8,2025-03-12 02:23:57,,,3.1.8
848c531a-74dd-45d1-81d0-a7115179925d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tidak bisa mengupdate riwayat keluarga. Sudah berhasil menginput, tapi pada riwayat pengajuan tidak ada data.",1,4,3.2.0,2025-03-17 02:38:18,,,3.2.0
b791722b-396b-4e90-9eb5-67bda0e696fe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong diperbaiki, setelah Update Aplikasi kenapa Saat mau log in muncul Notif NIP TIDAK ADA DI BASIS DATA. Sebelum di update tak ad masalah.",1,111,3.1.8,2025-02-03 22:59:38,,,3.1.8
f754400a-accb-4cef-a797-087564253c4f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kocak, login lewat web bisa masuk tp ga bisa update profil, giliran lewat app malah NIP tidak ada di database. anggaran development bukan main, hasil app nya main2 wkwkwk",1,86,3.2.0,2025-02-04 05:05:55,,,3.2.0
869ba114-5ba3-429a-a16d-43a8e6c575ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kami hendak mengikuti aturan yg diterapkan oleh pemerintah, kami diharuskan update data lewat apk myasn tapi selalu terkendala server. Buat bidang yg terkait, tolong diperbaiki aplikasinya agar tidak menyusahkan kami yg hendak mengikuti aturan",1,28,3.1.8,2025-02-10 12:14:55,,,3.1.8
cc68bb81-6501-43ad-b206-17bc3ef283d8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Setelah update apk. Masa pas login NIP tdk. terdata di database, sedangakan login di Web masih bisa.",1,22,3.1.8,2025-02-27 05:44:01,,,3.1.8
4820f93a-0b19-4c79-afac-26f865705ce6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Percuma, update data Keluarga tak bisa dilakukan. Harap diperbaiki, karena buat apa dilaunching aplikasi sekedar buat liat data yang tak bisa diupdate. Uninstall saja. Buat apa coba dibikin aplikasi ini???",2,21,3.2.0,2024-12-16 01:02:14,,,3.2.0
02a7c59d-19e6-45ae-8360-d46d118e4f9b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bintang 1 dulu yah awalnya bisa masuk ke aplikasi ini, tapi kenapa sekarang tidak bisa masuk alasannya NIP tidak terdapat di database hadeuuuhhh tolong lah Diperbaiki.",1,21,3.2.0,2025-02-10 09:25:45,,,3.2.0
